index,sic3,yr,ldsal,lemp,ldnpt,ldrst,ldrnd,ldinv,Wage
214,203,83,8.405798,3.6375861,7.7285371,5.669136,3.776078,5.4843621,23.625
214,203,88,8.4178753,3.4657359,7.5369568,5.6875448,3.332895,5.5334511,28.875
215,367,78,5.2524018,2.0992441,4.377089,4.1792669,2.3370659,2.668575,21.875
215,367,83,5.7305579,2.1360581,4.4043221,3.9437129,2.1781721,2.8314159,23.625
215,367,88,5.611536,1.852227,4.5268931,3.923182,1.452417,2.2753699,28.875
216,382,88,2.591769,-2.2633641,-.0058537,1.379739,.1053606,-1.662371,28.875
217,289,73,6.4869771,1.8870699,6.6855822,5.0935822,3.2007821,5.403862,18.375
217,289,78,6.9270172,2.0668631,6.5840259,5.1102428,3.2729909,5.1181011,21.875
217,289,83,7.368876,1.974081,7.1309991,5.2077789,3.5441661,4.3604841,23.625
217,289,88,7.3720012,1.639967,6.9030862,5.339097,3.316134,5.1079302,28.875
218,357,88,4.2836318,-.6311118,2.072731,3.1550269,2.047662,1.9496551,28.875
219,357,73,2.1860819,1.097612,4.2419162,3.5750329,2.9357159,3.361202,18.375
219,357,78,3.24754,1.02353,3.932586,4.4261971,2.7142601,2.5756841,21.875
220,366,78,3.7952909,-.28634971,1.124154,1.79138,.99507159,1.174283,21.875
220,366,88,4.5799599,-.2331939,2.4576249,2.8338521,.97099859,.78109032,28.875
221,291,83,3.4380989,-1.903809,3.3293669,.3341153,-.96705133,-.38781911,23.625
222,357,78,.78260052,-1.7037489,1.1839221,3.0485561,-.089099899,-.38918051,21.875
222,357,88,2.8315179,-2.2443161,.085713603,2.24472,.498577,-1.986611,28.875
223,286,88,4.7104168,-.71743989,3.571887,2.509635,1.10279,1.998294,28.875
224,353,78,4.4284191,.28141251,3.50493,2.03108,.53447813,1.670519,21.875
224,353,83,5.0746002,.83290911,3.919503,2.8999131,1.892271,2.077914,23.625
225,353,78,6.5361209,2.157212,6.1646872,3.4412611,2.286056,4.123879,21.875
225,353,83,6.870647,2.048209,6.754179,4.223227,3.035429,4.3802071,23.625
226,200,78,7.8819752,3.540467,7.102982,5.0999799,3.2958369,5.2242932,21.875
226,200,83,8.1578989,3.730597,7.4290481,5.1569872,3.4143829,5.2032628,23.625
226,200,88,8.4480762,3.879272,7.4325299,5.382266,3.813787,5.9315839,28.875
227,205,73,7.0566769,2.564949,5.8824172,1.687147,.25131449,4.219471,18.375
227,205,78,7.269402,3.1268041,6.190321,1.946739,.33530059,4.4625401,21.875
228,329,73,7.0343132,2.790122,6.0623879,4.761704,3.035923,3.292799,18.375
229,306,73,5.675736,1.462097,4.2373018,2.7031529,1.475203,3.027,18.375
229,306,78,5.9315581,1.559827,4.5859718,2.71385,1.083194,2.5704451,21.875
229,306,83,6.0774879,1.581656,5.0409212,2.8715889,1.64632,2.887372,23.625
229,306,88,6.2863922,1.4637181,4.8701949,3.7048571,2.6030121,2.756779,28.875
230,200,73,7.8972301,3.0204251,6.4282169,4.1468048,2.4700179,4.3254628,18.375
230,200,78,8.1432886,3.11795,6.5937719,4.3744121,2.7455881,4.3257918,21.875
230,200,83,8.1797819,3.0155351,6.769547,4.6105938,3.035429,4.870481,23.625
231,331,73,6.3084688,1.564859,5.3968592,3.8656681,2.479969,3.12639,18.375
231,331,78,6.2726588,1.597568,5.6371431,4.3074841,2.731916,3.7830019,21.875
231,331,83,5.9944839,1.4331779,6.1838241,4.5324411,2.6433871,4.291769,23.625
231,331,88,6.237782,1.3586659,6.3646688,4.4908161,2.2681839,3.5642581,28.875
232,358,73,7.5214858,3.2068839,6.3095889,5.6883149,4.0629878,4.6503849,18.375
233,283,88,1.961014,-2.0479431,.169595,1.914974,.9808293,-.31263411,28.875
234,283,73,5.9439511,.95551139,4.5065422,4.792408,3.0393479,2.5892739,18.375
234,283,78,5.7853322,1.131402,4.1739049,4.771709,2.8823249,2.449975,21.875
234,283,83,5.973032,1.1817271,4.5551291,4.7695918,3.1586499,2.0102119,23.625
234,283,88,6.182373,1.396245,4.5914192,5.0417662,3.593188,3.102648,28.875
235,353,73,4.6958132,.20538691,2.9456141,1.328635,-.26978081,1.482056,18.375
235,353,78,4.769197,.28517899,3.2638209,1.574782,.22902779,1.533813,21.875
236,353,73,9.0573616,4.3098731,7.7800522,7.2941122,5.4457598,6.4836311,18.375
236,353,78,9.2854261,4.4774499,8.4201307,7.3383031,5.588047,6.6983228,21.875
236,353,83,8.6066208,4.0621138,8.5714521,7.4045248,5.5112858,5.7978902,23.625
236,353,88,9.2172709,4.059649,8.1979256,7.296278,5.1696048,6.6482081,28.875
237,384,73,3.272182,-.80073237,.8101027,2.31668,.82344067,-.1496118,18.375
237,384,78,3.7420239,-.44005659,1.150478,2.876334,1.513505,-.016554199,21.875
238,344,73,6.3901148,2.0986309,4.9865088,1.855162,-.38958201,2.882622,18.375
238,344,78,6.1320181,1.96389,4.7703052,1.651209,-.2190536,2.3685679,21.875
238,344,83,6.1828332,1.961362,5.031621,1.732527,.0011241999,2.5531421,23.625
239,282,73,8.2682257,3.6210561,8.1161308,6.527297,4.793222,5.9777231,18.375
239,282,78,8.3063145,3.5025499,7.8942251,6.6602879,4.913137,5.9139061,21.875
240,283,88,3.948595,-.84397012,3.464062,4.1979389,3.4867401,2.9379671,28.875
241,204,73,7.5145502,2.3761139,5.8464389,3.3507111,1.734311,3.52373,18.375
241,204,78,7.8547659,2.2113471,5.9717951,3.5764091,2.1429551,3.96385,21.875
241,204,83,7.2744999,2.0633121,5.9156308,3.8815501,2.1055319,3.169327,23.625
242,349,88,4.0545492,-.89159811,1.896341,1.473973,.1742375,.60099351,28.875
243,399,73,4.0249782,-.087738901,1.387534,-.064393997,-1.305873,.1852124,18.375
244,372,78,7.146966,2.8328021,5.2100568,5.4072909,4.1052952,2.7775199,21.875
244,372,83,6.2910199,2.0918641,5.3810272,5.7770481,3.928755,3.432739,23.625
245,365,73,3.300451,-.28369001,1.875422,2.6332059,.69683498,.45626199,18.375
245,365,83,4.2028761,-.390084,2.25945,2.6426489,.47042531,.4443728,23.625
246,348,78,5.5172672,1.3609771,3.7707,2.670393,1.427247,1.736531,21.875
247,245,73,6.4291482,1.757858,4.7036791,1.822242,1.110041,3.5623419,18.375
247,245,78,6.091311,1.4586149,4.161305,2.0910299,-.89199811,1.141939,21.875
247,245,83,5.9342232,1.308333,3.6393781,1.457644,-2.2362199,1.619157,23.625
248,245,73,6.4291482,1.757858,4.7036791,1.822242,1.110041,3.5623419,18.375
248,245,78,6.091311,1.4586149,4.161305,2.0910299,-.89199811,1.141939,21.875
248,245,83,5.9342232,1.308333,3.6393781,1.457644,-2.2362199,1.619157,23.625
249,371,73,4.4557538,.4700036,2.557477,1.322983,.42658699,.68317199,18.375
249,371,78,4.8815851,.95551139,2.8650961,2.011375,.4555555,.70796227,21.875
249,371,83,4.643959,.89240777,3.3006849,2.0644619,.30164489,.68651283,23.625
249,371,88,4.851655,.96317428,3.2340519,2.1943581,.52977538,.85284108,28.875
250,225,73,4.4895358,.90462291,2.8412089,.31816709,-1.162166,1.084451,18.375
250,225,78,4.6847382,.89404511,3.0773809,.47060791,-1.759499,.52446347,21.875
251,369,73,6.8638468,2.60269,5.8320498,4.0168061,2.714597,3.117203,18.375
251,369,78,6.9279032,2.7536609,5.788188,4.209034,2.4957759,3.2986519,21.875
251,369,83,6.6822052,2.5336969,5.8809962,4.3797331,2.6433871,3.088171,23.625
251,369,88,6.5668311,2.116256,5.5650978,4.4623861,2.2273619,3.577883,28.875
252,369,88,4.9770031,.32135859,3.763392,2.4583271,.66869611,1.572176,28.875
253,222,73,4.9639192,1.147403,3.654422,1.66014,-.90040761,2.172663,18.375
253,222,78,4.981483,1.138153,3.570205,1.125291,-4.1108742,1.896971,21.875
254,283,73,4.529017,-.45413029,2.8147991,1.326121,-.53829288,.74394399,18.375
254,283,78,4.7345271,-.41551539,3.0450201,1.8566951,.64271629,1.223336,21.875
254,283,83,4.4356408,-.8462984,3.2629371,2.167028,.33438101,.46311331,23.625
255,355,88,2.5209219,-2.002481,.83822399,1.4928091,-.1080479,-.96922368,28.875
